               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11594,            0.044008,                   0,            0.019914,             0.18182,            0.025786,           0.0088647,            0.098237,            0.027245,                   0,              0.0874,              0.0014,              0.0014
                   1,            0.090208,            0.046849,                   0,             0.64787,             0.54545,             0.55489,             0.20424,            0.078382,            0.024011,                   0,            0.073843,           0.0028426,           0.0028426
                   2,             0.07645,            0.042745,                   0,             0.45475,              0.5687,             0.48983,             0.14315,            0.080427,            0.024183,                   0,            0.060226,           0.0042258,           0.0042258
                   3,            0.070007,            0.037526,                   0,             0.57968,              0.4697,              0.4962,             0.15209,            0.068757,            0.016313,                   0,             0.04655,           0.0055495,           0.0055495
                   4,             0.06702,               0.034,                   0,             0.46217,             0.56061,             0.37968,             0.12024,            0.071375,            0.014696,                   0,            0.032814,           0.0068139,           0.0068139
                   5,            0.063932,            0.034288,                   0,             0.59867,             0.56061,              0.5583,             0.20455,            0.067175,            0.014273,                   0,            0.019019,           0.0080189,           0.0080189
                   6,            0.062172,            0.034772,                   0,             0.57653,                 0.5,             0.51319,             0.14009,            0.064693,            0.014466,                   0,            0.008812,            0.008812,            0.008812
                   7,            0.059129,            0.031895,                   0,             0.70105,             0.68182,              0.6799,             0.29128,            0.054949,            0.014143,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.056683,            0.032016,                   0,             0.75831,             0.60606,              0.6853,             0.23711,            0.058557,            0.014342,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.054326,            0.030145,                   0,             0.73049,             0.60606,               0.644,             0.26652,            0.055072,            0.014272,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.050108,            0.030324,                   0,             0.64973,             0.66667,             0.69705,             0.32651,            0.052985,            0.014601,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.048797,            0.030949,                   0,             0.76756,             0.70052,             0.74141,             0.36554,            0.051422,            0.013647,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.046151,            0.028795,                   0,             0.74885,             0.74242,             0.74313,             0.31066,            0.051971,            0.013882,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.044587,            0.028263,                   0,             0.73254,             0.77273,             0.75755,             0.40375,            0.049051,            0.013926,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.043398,            0.026197,                   0,             0.78733,             0.78531,             0.78046,             0.42745,            0.048687,             0.01342,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.040551,             0.02742,                   0,             0.82562,             0.77273,             0.80242,             0.43782,            0.046941,            0.013804,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.041513,            0.026209,                   0,             0.84746,             0.77273,             0.81174,             0.41665,            0.050452,             0.01382,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.038177,            0.025571,                   0,             0.89652,             0.78763,             0.81113,             0.44209,            0.048263,            0.013695,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.039164,            0.025514,                   0,             0.84286,             0.73146,             0.78293,              0.4326,            0.049301,            0.014369,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.037228,            0.024867,                   0,             0.79223,              0.7511,             0.73861,             0.44325,            0.047969,            0.014174,                   0,            0.006436,            0.006436,            0.006436
