               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091124,            0.045524,            0.026408,             0.57444,             0.22493,            0.077445,            0.021316,            0.076273,            0.026557,            0.015217,              0.0706,           0.0032667,           0.0032667
                   1,            0.066189,            0.034467,            0.020919,             0.28886,             0.41424,             0.32377,             0.11405,            0.060646,            0.013039,            0.015167,            0.040469,           0.0064693,           0.0064693
                   2,            0.063089,            0.030921,             0.01997,             0.35636,               0.499,             0.38421,             0.14651,            0.055808,            0.011097,            0.012086,            0.010207,             0.00954,             0.00954
                   3,            0.057809,             0.02856,            0.016034,             0.39562,             0.67221,              0.4977,             0.22614,            0.050508,            0.011422,           0.0079741,            0.009406,            0.009406,            0.009406
                   4,             0.05158,            0.027437,            0.012047,             0.66429,             0.65941,             0.61331,             0.21543,            0.051095,            0.010746,           0.0073339,            0.009406,            0.009406,            0.009406
                   5,             0.04599,            0.025023,           0.0093724,             0.54007,             0.60541,             0.54485,             0.23815,            0.049742,            0.010153,           0.0051898,            0.009208,            0.009208,            0.009208
                   6,            0.044135,            0.025269,           0.0076565,             0.66234,               0.684,             0.64371,              0.3195,            0.040406,             0.01057,           0.0046996,             0.00901,             0.00901,             0.00901
                   7,            0.041731,            0.024368,           0.0066388,             0.86345,             0.64335,             0.77339,             0.45714,            0.035912,            0.010042,           0.0042572,            0.008812,            0.008812,            0.008812
                   8,            0.039746,            0.023425,           0.0057186,              0.8809,             0.75539,             0.81158,             0.43634,            0.034934,           0.0097646,           0.0040679,            0.008614,            0.008614,            0.008614
                   9,            0.038694,            0.022573,           0.0055317,             0.91792,             0.71137,             0.77785,             0.51671,            0.031511,           0.0098041,           0.0045762,            0.008416,            0.008416,            0.008416
                  10,            0.036847,            0.023149,           0.0045121,             0.91502,             0.73219,             0.81117,             0.52548,            0.029116,           0.0089256,           0.0031065,            0.008218,            0.008218,            0.008218
                  11,            0.035977,            0.021609,           0.0041242,             0.87445,             0.75117,             0.86239,             0.48047,            0.029845,           0.0090397,           0.0028525,             0.00802,             0.00802,             0.00802
